Authors,Title,Year,DOI,Link
"Zulhendri F., Perera C.O., Tandean S., Abdulah R., Herman H., Christoper A., Chandrasekaran K., Putra A., Lesmana R.",The Potential Use of Propolis as a Primary or an Adjunctive Therapy in Respiratory Tract-Related Diseases and Disorders: A Systematic Scoping Review,2022,10.1016/j.biopha.2021.112595,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121983324&doi=10.1016%2fj.biopha.2021.112595&partnerID=40&md5=a201dca2fdce13a7413aaa05bead7172
"Popova M., Trusheva B., Ilieva N., Thanh L.N., Lien N.T.P., Bankova V.",Mangifera indica as propolis source: what exactly do bees collect?,2021,10.1186/s13104-021-05863-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121299206&doi=10.1186%2fs13104-021-05863-7&partnerID=40&md5=50abb9fe1070d5e156bbcdf0e1e871f6
"Salatino A., Salatino M.L.F., Negri G.",How diverse is the chemistry and plant origin of Brazilian propolis?,2021,10.1007/s13592-021-00889-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116303347&doi=10.1007%2fs13592-021-00889-z&partnerID=40&md5=8b6cc385a12057ed96ce2ec73f99b74b
"Naree S., Benbow M.E., Suwannapong G., Ellis J.D.",Mitigating Nosema ceranae infection in western honey bee (Apis mellifera) workers using propolis collected from honey bee and stingless bee (Tetrigona apicalis) hives,2021,10.1016/j.jip.2021.107666,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115371715&doi=10.1016%2fj.jip.2021.107666&partnerID=40&md5=2f9dc89cebc83b74be972e6235d63d21
"Suleiman J.B., Mohamed M., Abu Bakar A.B., Nna V.U., Zakaria Z., Othman Z.A., Aroyehun A.B.","Chemical profile, antioxidant properties and antimicrobial activities of malaysian heterotrigona itama bee bread",2021,10.3390/molecules26164943,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113817081&doi=10.3390%2fmolecules26164943&partnerID=40&md5=15435683e13b8c78ca0cab302366502f
"Shanahan M., Spivak M.",Resin use by stingless bees: A review,2021,10.3390/insects12080719,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113773936&doi=10.3390%2finsects12080719&partnerID=40&md5=a1858d04f43bee980fbf83785c9c2f76
"Yosri N., El-Wahed A.A.A., Ghonaim R., Khattab O.M., Sabry A., Ibrahim M.A.A., Moustafa M.F., Guo Z., Zou X., Algethami A.F.M., Masry S.H.D., Alajmi M.F., Afifi H.S., Khalifa S.A.M., El-Seedi H.R.","Anti-viral and immunomodulatory properties of propolis: Chemical diversity, pharmacological properties, preclinical and clinical applications, and in silico potential against sars-cov-2",2021,10.3390/foods10081776,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113173148&doi=10.3390%2ffoods10081776&partnerID=40&md5=d56ce3f8c17c29703e7eeac7c80613cc
"Farag M.R., Abdelnour S.A., Patra A.K., Dhama K., Dawood M.A.O., Elnesr S.S., Alagawany M.","Propolis: Properties and composition, health benefits and applications in fish nutrition",2021,10.1016/j.fsi.2021.06.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108335131&doi=10.1016%2fj.fsi.2021.06.010&partnerID=40&md5=2dbec70a46c7c52e72f178f4d1b6e6a4
"Laaroussi H., Ferreira-Santos P., Genisheva Z., Bakour M., Ousaaid D., Teixeira J.A., Lyoussi B.","Unraveling the chemical composition, antioxidant, α-amylase and α-glucosidase inhibition of Moroccan propolis",2021,10.1016/j.fbio.2021.101160,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108143970&doi=10.1016%2fj.fbio.2021.101160&partnerID=40&md5=1a7f2d5c74a328b241ee953d1d8c0660
"Popova M., Trusheva B., Bankova V.",Propolis of stingless bees: A phytochemist's guide through the jungle of tropical biodiversity,2021,10.1016/j.phymed.2019.153098,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073823436&doi=10.1016%2fj.phymed.2019.153098&partnerID=40&md5=e47bc8f7875469dbc7aaece1482b5309
