Row.names	degr_mono	degr_mult	betw_mono	betw_mult	clos_mono	clos_mult	eigen_mono	eigen_mult	degr	ndegr	d	betw	wbetw	clos	wclos	withinMdegr	eigen	taxon	body_size_mean	module	included_in_phylogeny	biogeographical_region	number_of_interactions	number_of_articles	botanical_source_method	predicted
4	Frieseomelitta_varia	1	1	0	0	0.00657894736842105	0.00657894736842105	1.2530048986492e-16	0.0947324662360983	1	0.0277777777777778	0.123903912041065	0	0	0.015661938534279	0.00910589260073028	0	0.0713989721656167	bee	1.74	4	yes	Neotropical	30	2	chem_pal	0.00695764752825918
5	Geniotrigona_thoracica	3	3	15.7014488663398	20.4359078421578	NA	0.00709219858156028	0.350442885152057	0.350442885152057	3	0.0833333333333333	0.116630258464105	0.00575651610477405	0.000995567312731439	0.018395390070922	0.0130099212850958	0.850876353425194	0.333032409034274	bee	1.835	6	yes	Indo-Malayan-Australasian	7	3	chem_field	0.00699885087051069
6	Heterotrigona_erythrogastra	2	2	10.9465917953063	14.1249188311688	NA	0.00699300699300699	0.268368635977295	0.268368635977295	2	0.0555555555555556	0.0420158877825313	0.00575651610477405	0.000995567312731439	0.018395390070922	0.0117433086425969	-0.0500515502014818	0.262994186178921	bee	1.15	6	yes	Indo-Malayan-Australasian	3	2	chem_field	0.00670712919111126
8	Heterotrigona_itama	4	4	148.922794456258	126.988619142296	NA	0.00757575757575758	0.23558106544532	0.23558106544532	5	0.138888888888889	0.0173579413733924	0.149086143870942	0.311401772744745	0.0234929078014184	0.0172095570222209	0	0.514930702682483	bee	1.27	8	yes	Indo-Malayan-Australasian	9	5	chem_field	0.00675734056677714
9	Homotrigona_apicalis	3	3	15.7014488663398	20.4359078421578	NA	0.00709219858156028	0.350442885152057	0.350442885152057	3	0.0833333333333333	0.116630258464105	0.00575651610477405	0.000995567312731439	0.018395390070922	0.0130099212850958	0.850876353425194	0.333032409034274	bee	1.511	6	yes	Indo-Malayan-Australasian	8	4	chem_field	0.00685932013539363
10	Homotrigona_binghami	1	1	0	0	NA	0.00645161290322581	0.169962951690742	0.169962951690742	1	0.0277777777777778	0	0	0	0.0172133569739953	0.00946308648251852	-0.950979453828157	0.155801850650797	bee	1.495	6	yes	Indo-Malayan-Australasian	7	2	chem_field	0.00685250226472795
11	Homotrigona_canifrons	4	3	20.4563059373734	14.1249188311688	NA	0.00704225352112676	0.432517134326819	0.432517134326819	3	0.0833333333333333	0.273018500776542	0.00575651610477405	0.000995567312731439	0.018395390070922	0.0137908353026168	0.850876353425194	0.403070631889628	bee	1.805	6	yes	Indo-Malayan-Australasian	12	2	chem_field	0.00698581299610429
12	Homotrigona_fimbriata	1	1	0	0	NA	0.00645161290322581	0.169962951690742	0.169962951690742	1	0.0277777777777778	0	0	0	0.0172133569739953	0.00946308648251852	-0.950979453828157	0.155801850650797	bee	1.925	6	yes	Indo-Malayan-Australasian	9	3	chem_field	0.00703811067379683
14	Homotrigona_melanoleuca	2	2	15.9359731771496	16.1581953993719	NA	0.00680272108843537	0.200097465933439	0.200097465933439	2	0.0555555555555556	0.0304813461089023	0.0477602309863339	0.00896010581458295	0.0198729314420804	0.0125693173264267	0	0.227200822816414	bee	1.588	6	yes	Indo-Malayan-Australasian	5	2	chem_field	0.00689222613307247
15	Lepidotrigona_ventralis	2	2	13.6578818240583	14.0403743315508	NA	0.00699300699300699	0.226810748293732	0.226810748293732	2	0.0555555555555556	0	0.0215355765650918	0.00149335096909716	0.0199468085106383	0.0128539507730194	-0.471404520791032	0.292340701786657	bee	1.44	6	yes	Indo-Malayan-Australasian	9	3	chem_field	0.00682911747794613
17	Lisotrigona_cacciae	4	4	88.409595959596	87.4706349206349	NA	0.00606060606060606	0.0998837220405698	0.0998837220405699	4	0.111111111111111	0.408834232726578	0.0377930048886426	0.0187975553235105	0.0188386524822695	0.0128027883457576	2.35702260395516	0.226682090812122	bee	0.819	8	no	Indo-Malayan-Australasian	5	2	chem	0.00657055499795551
19	Lisotrigona_furva	3	3	87.3572749146279	88.734284016637	NA	0.00719424460431655	0.236826777962372	0.236826777962372	3	0.0833333333333333	0.185217159085827	0.0497615983086309	0.022493598972026	0.0201684397163121	0.0130627560070039	0.942809041582063	0.305582439110579	bee	1.027	6	yes	Indo-Malayan-Australasian	4	2	chem	0.0066560497177154
21	Melipona_compressipes	2	2	20.6451640464798	18.3073083778966	0.00775193798449612	0.00775193798449612	2.56814227161158e-16	0.294933439921047	2	0.0555555555555556	0.146364840560054	0.0106995698011478	0.00112001322682287	0.0172872340425532	0.0114235601745674	0	0.143284049793492	bee	3.725	8	yes	Neotropical	4	3	chem_field	0.00787123959197408
