Row.names	degr_mono	degr_mult	betw_mono	betw_mult	clos_mono	clos_mult	eigen_mono	eigen_mult	degr	ndegr	d	betw	wbetw	clos	wclos	withinMdegr	eigen	taxon	body_size_mean	module	included_in_phylogeny	biogeographical_region	number_of_interactions	number_of_articles	botanical_source_method	predicted	se
4	Frieseomelitta_varia	23	23	415.643692544252	496.097996259155	0.00355871886120996	0.00355871886120996	0.560702030567591	0.560702030567591	23	0.227722772277228	0.204707868324614	0.0293442527182751	0.0015596985070223	0.0179021132158108	0.0122761358992164	0.741345733065861	0.553008703280537	bee	1.74	4	yes	Neotropical	30	2	chem_pal	0.205622837645191	0.452718528962953
5	Geniotrigona_thoracica	3	3	12.892902187461	15.6761544011544	NA	0.00454545454545455	8.34826296726407e-17	0.0955396396203075	3	0.0297029702970297	0.237694431906839	0.0111765693318005	0.00227674779934316	0.0156027592247892	0.00788672978661657	0.977922665943021	0.0286207656341014	bee	1.835	6	yes	Indo-Malayan-Australasian	7	3	chem_field	0.215689981454155	0.185022984834986
6	Heterotrigona_erythrogastra	2	2	6.44543167870734	7.23448773448773	NA	0.0045045045045045	5.48977545758694e-17	0.0822036950754513	2	0.0198019801980198	0.226865510407451	0.00443677388016914	0.000861256610609671	0.0147268148472572	0.00646324099378479	0.0444510302701374	0.011444779461899	bee	1.15	6	yes	Indo-Malayan-Australasian	3	2	chem_field	0.152809150761539	0.452718528962953
8	Heterotrigona_itama	5	5	106.773324635783	232.464695272048	NA	0.00564971751412429	1.10746577084718e-16	0.181901999372806	5	0.0495049504950495	0	0.0900513764325507	0.00151517366681331	0.0195445089236833	0.00893588820470545	0.449466574975495	0.193414890093679	bee	1.27	8	yes	Indo-Malayan-Australasian	9	5	chem_field	0.162319532435547	0.185022984834986
9	Homotrigona_apicalis	3	3	12.892902187461	15.6761544011544	NA	0.00454545454545455	8.05237516589269e-17	0.0955396396203076	3	0.0297029702970297	0.184362370220122	0.0111765693318005	0.000956951789566301	0.0156027592247892	0.00749047631293374	0.977922665943021	0.0286207656341015	bee	1.511	6	yes	Indo-Malayan-Australasian	8	4	chem_field	0.183245001393978	0.452718528962953
10	Homotrigona_binghami	1	1	0	0	NA	0.00429184549356223	1.61153177532629e-17	0.065074303105924	1	0.0099009900990099	0.196561632232823	0	0	0.0138508704697252	0.00705257354787315	-0.889020605402746	0.00905149664925925	bee	1.495	6	yes	Indo-Malayan-Australasian	7	2	chem_field	0.181775750844732	0.185022984834986
11	Homotrigona_canifrons	4	3	19.3403726962146	7.23448773448773	NA	0.00452488687782805	9.33103316467617e-17	0.108875584165164	3	0.0297029702970297	0.298170830039335	0.0111765693318005	0.00227674779934316	0.0156027592247892	0.0080252970897352	0.977922665943021	0.0457967518063038	bee	1.805	6	yes	Indo-Malayan-Australasian	12	2	chem_field	0.212458747993564	0.452718528962953
12	Homotrigona_fimbriata	1	1	0	0	NA	0.00429184549356223	2.23500964250171e-17	0.0650743031059241	1	0.0099009900990099	0.196561632232823	0	0	0.0138508704697252	0.00705257354787315	-0.889020605402746	0.00905149664925927	bee	1.925	6	yes	Indo-Malayan-Australasian	9	3	chem_field	0.225681541087637	0.185022984834986
14	Homotrigona_melanoleuca	2	2	18.8378882012159	12.7224811136576	NA	0.00444444444444444	4.07902469033409e-17	0.0729642588790154	2	0.0198019801980198	0.165891087797011	0.0388780366064846	0.00418666407935257	0.0165881966495128	0.00715663983475246	-0.889020605402746	0.0336716660025776	bee	1.588	6	yes	Indo-Malayan-Australasian	5	2	chem_field	0.190483581621249	0.452718528962953
15	Lepidotrigona_ventralis	2	2	8.21348852815571	13.6423584585349	NA	0.00452488687782805	4.98782293740334e-17	0.113300312596487	2	0.0198019801980198	0	0.0309228962260004	0	0.017409394503449	0.00630385463493462	-0.786566506207116	0.0661161462619074	bee	1.44	6	yes	Indo-Malayan-Australasian	9	3	chem_field	0.176814466906628	0.185022984834986
