plant_family	bee_species	plant_identification	layer	weight
Altingiaceae	Melipona_beecheii	CF	Neotropics	1
Anacardiaceae	Heterotrigona_itama	CF	Indo-Malayan-Australasia	1
Anacardiaceae	Lepidotrigona_ventralis	CF	Indo-Malayan-Australasia	1
Anacardiaceae	Lisotrigona_cacciae	CF	Indo-Malayan-Australasia	1
Anacardiaceae	Lisotrigona_furva	CF	Indo-Malayan-Australasia	1
Anacardiaceae	Melipona_quadrifasciata	CF	Neotropics	1
Anacardiaceae	Melipona_scutellaris	CF	Neotropics	1
Anacardiaceae	Melipona_subnitida	CF	Neotropics	1
Anacardiaceae	Plebeia_droryana	CF	Neotropics	1
Anacardiaceae	Plebeia_remota	CF	Neotropics	1
Anacardiaceae	Scaptotrigona_postica	CF	Neotropics	1
Anacardiaceae	Tetragonisca_angustula	CF	Neotropics	1
Anacardiaceae	Tetragonisca_fiebrigi	CF	Neotropics	1
Anacardiaceae	Tetragonula_collina	CF	Indo-Malayan-Australasia	1
Anacardiaceae	Tetragonula_iridipennis	CF	Indo-Malayan-Australasia	1
Anacardiaceae	Tetragonula_laeviceps	CF	Indo-Malayan-Australasia	1
Anacardiaceae	Tetragonula_minor	CF	Indo-Malayan-Australasia	1
Anacardiaceae	Tetragonula_sapiens	CF	Indo-Malayan-Australasia	1
Anacardiaceae	Wallacetrigona_incisa	CF	Indo-Malayan-Australasia	1
Apocynaceae	Tetragonula_iridipennis	CF	Indo-Malayan-Australasia	1
Araucariaceae	Geniotrigona_thoracica	CF	Indo-Malayan-Australasia	1
Araucariaceae	Heterotrigona_erythrogastra	CF	Indo-Malayan-Australasia	1
Araucariaceae	Homotrigona_apicalis	CF	Indo-Malayan-Australasia	1
Araucariaceae	Homotrigona_canifrons	CF	Indo-Malayan-Australasia	1
Araucariaceae	Homotrigona_haematoptera	CF	Indo-Malayan-Australasia	1
Araucariaceae	Plebeia_droryana	CF	Neotropics	1
Araucariaceae	Plebeia_remota	CF	Neotropics	1
Araucariaceae	Scaptotrigona_bipunctata	CF	Neotropics	1
Araucariaceae	Tetragona_clavipes	CF	Neotropics	1
Araucariaceae	Tetragonula_carbonaria	CF	Indo-Malayan-Australasia	1
Araucariaceae	Tetragonula_collina	CF	Indo-Malayan-Australasia	1
Araucariaceae	Tetragonula_geissleri	CF	Indo-Malayan-Australasia	1
Araucariaceae	Tetragonula_laeviceps	CF	Indo-Malayan-Australasia	1
Araucariaceae	Tetragonula_melanocephala	CF	Indo-Malayan-Australasia	1
Asparagaceae	Lisotrigona_cacciae	CF	Indo-Malayan-Australasia	1
Asphodelaceae	Tetragonula_carbonaria	CF	Indo-Malayan-Australasia	1
Balanophoraceae	Melipona_orbignyi	CF	Neotropics	1
Bignoniaceae	Melipona_subnitida	CF	Neotropics	1
Burseraceae	Geniotrigona_thoracica	CF	Indo-Malayan-Australasia	1
Burseraceae	Homotrigona_apicalis	CF	Indo-Malayan-Australasia	1
Burseraceae	Homotrigona_canifrons	CF	Indo-Malayan-Australasia	1
Burseraceae	Tetragonula_collina	CF	Indo-Malayan-Australasia	1
Burseraceae	Homotrigona_canifrons	CF	Indo-Malayan-Australasia	1
