	Axestotrigona_ferruginea	Frieseomelitta_longipes	Friseomelita_silvestrii	Frieseomelitta_varia	Geniotrigona_thoracica	Heterotrigona_erythrogastra	Heterotrigona_itama	Homotrigona_fimbriata	Lepidotrigona_ventralis	Lestrimelitta_limao	Lisotrigona_cacciae	Lisotrigona_furva	Homotrigona_canifrons	Melipona_beecheii	Melipona_compressipes	Melipona_fasciculata	Melipona_favosa	Melipona_flavolineata	Melipona_fuliginosa	Melipona_mandacaia	Melipona_marginata	Melipona_orbignyi	Melipona_quadrifasciata	Melipona_scutellaris	Melipona_seminigra_merrillae	Melipona_subnitida	Nannotrigona_testaceicornis	Homotrigona_haematoptera	Paratrigona_anduzei	Heterotrigona_hobbyi	Plebeia_droryana	Plebeia_emerina	Plebeia_frontalis	Plebeia_lucii	Plebeia_remota	Scaptotrigona_bipunctata	Scaptotrigona_depilis	Scaptotrigona_jujuyensis	Scaptotrigona_postica	Tetragonisca_fiebrigi	Tetragona_clavipes	Tetragonula_atripes	Tetragonula_collina	Tetragonula_rufibasalis	Tetragonisca_angustula	Tetragonula_biroi	Tetragonula_carbonaria	Tetragonula_fuscobalteata	Tetragonula_geissleri	Tetragonula_hockingsi	Tetragonula_laeviceps	Tetragonula_melanocephala	Tetragonula_melina	Tetragonula_pagdeni	Tetragonula_sapiens	Tetragonula_reepeni	Tetragonula_minor	Homotrigona_apicalis	Homotrigona_binghami	Homotrigona_melanoleuca	Trigona_corvina	Trigona_fulviventris	Trigona_recursa	Trigona_spinipes	Trigona_williana	Wallacetrigona_incisa
Acanthaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Altingiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amaranthaceae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anacardiaceae	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1
Apiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apocynaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Aquifoliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Araucariaceae	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Arecaceae	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Araliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
