	Frieseomelitta_varia	Lestrimellita_limao	Melipona_fasciculata	Melipona_flavolineata	Melipona_mandacaia	Melipona_quadrifasciata	Melipona_seminigra	Melipona_subnitida	Nannotrigona_testaceicornis	Scaptotrigona_postica	Tetragonisca_angustula	Trigona_recursa
Amaranthaceae	0	1	1	1	1	1	1	1	1	0	1	0
Anacardiaceae	0	0	1	1	0	1	1	1	0	1	1	1
Apiaceae	0	0	0	0	0	0	0	0	0	1	0	0
Apocynaceae	0	0	0	1	0	0	1	1	0	1	0	0
Aquifoliaceae	0	0	1	0	0	1	0	0	0	1	0	0
Arecaceae	0	0	1	1	0	0	1	1	0	1	0	0
Asteraceae	0	1	1	1	1	1	1	1	0	1	1	0
Bignoniaceae	0	0	1	1	0	0	1	1	0	1	0	0
Bombacaceae	1	0	0	0	0	0	0	0	0	1	0	1
Boraginaceae	1	0	0	0	1	0	0	0	0	0	1	1
Burseraceae	0	0	1	1	0	0	1	1	0	1	0	0
Cactaceae	0	0	1	0	0	0	0	0	0	1	0	0
Caesalpiniaceae	0	0	1	1	0	0	1	0	0	1	0	0
Cannabaceae	0	0	0	0	0	1	0	0	0	0	1	1
Caryocaraceae	0	0	1	0	0	0	0	1	0	0	0	0
Caryophyllaceae	0	0	1	0	0	0	0	0	0	0	0	0
Cecropiaceae	0	1	1	0	1	1	1	0	1	0	1	0
Chrysobalanaceae	0	0	0	1	0	0	0	0	0	0	0	0
Clusiaceae	0	0	1	1	0	0	1	1	0	0	0	0
Combretaceae	0	0	1	0	0	1	0	0	0	0	1	0
Commelinaceae	0	0	0	0	0	0	1	0	0	1	0	0
Connaraceae	0	0	0	0	0	0	0	1	0	0	0	0
Convolvulaceae	0	0	1	1	1	0	1	1	0	1	1	0
Curcubitaceae	0	0	0	0	0	0	1	0	0	1	0	0
Cyperaceae	0	0	0	0	0	0	0	0	0	1	0	0
Dilleniaceae	0	1	0	0	0	0	0	1	0	0	0	0
Euphorbiaceae	0	0	1	1	0	0	1	1	1	1	1	1
Fabaceae	1	1	1	1	1	1	1	1	1	1	1	1
Humiriaceae	1	0	0	0	0	0	0	0	0	0	0	0
Hypericaceae	0	0	0	1	0	0	1	1	0	0	0	0
Iridaceae	0	0	0	1	0	0	0	0	0	0	0	0
Lacistemaceae	0	0	1	1	0	0	1	1	0	0	0	0
Lamiaceae	0	0	1	1	0	0	1	1	0	1	1	0
Lauraceae	0	0	0	1	0	0	1	1	0	0	0	0
Leguminosae	0	0	1	1	1	0	1	1	0	0	0	0
Lythraceae	0	0	1	0	0	0	0	0	0	0	0	1
Malpighiaceae	0	0	1	1	1	0	1	1	0	1	0	0
Malvaceae	1	0	0	1	1	0	0	1	0	1	1	0
Melastomataceae	0	0	1	1	0	0	1	1	0	0	0	0
Meliaceae	0	0	0	1	0	0	1	1	0	1	0	0
Myrsinaceae	0	0	1	0	0	0	1	1	0	0	0	0
Myrtaceae	1	1	1	1	1	1	1	1	1	0	1	1
Nyctaginaceae	0	0	0	0	0	0	1	0	0	1	0	0
Ochnaceae	0	0	1	0	0	0	0	0	0	0	0	0
Onagraceae	1	1	1	1	0	0	0	1	0	0	1	0
Phyllanthaceae	0	0	0	0	0	0	0	0	0	1	0	0
Phytolaccaceae	0	0	0	0	0	0	0	1	0	0	0	0
Pinaceae	1	0	1	0	0	1	0	0	1	0	0	1
Poaceae	1	0	1	0	0	0	0	0	0	0	0	0
Polygonaceae	1	0	0	0	0	0	0	0	0	0	0	1
Pontederiaceae	0	0	0	1	0	0	1	1	0	0	0	0
Rubiaceae	0	0	1	1	1	0	1	1	0	1	0	0
Rutaceae	1	1	1	1	0	0	1	0	1	1	1	1
Salicaceae	0	0	0	0	0	0	1	1	0	1	0	0
Sapindaceae	0	0	1	1	0	1	1	1	0	1	1	0
Sapotaceae	0	0	0	0	0	0	0	0	0	1	0	0
Scrophulariaceae	0	0	0	0	0	0	0	0	0	0	1	0
Simaroubaceae	0	0	1	0	0	0	1	1	0	0	0	0
Solanaceae	0	0	1	1	0	0	1	1	0	1	0	0
Typhaceae	1	1	0	0	0	0	0	0	1	0	0	0
Urticaceae	0	0	0	0	0	1	0	0	0	0	0	0
