node	taxon	type
Axestotrigona_ferruginea	bee	1
Frieseomelitta_longipes	bee	1
Frieseomelitta_silvestrii	bee	1
Frieseomelitta_varia	bee	1
Geniotrigona_thoracica	bee	1
Heterotrigona_erythrogastra	bee	1
Heterotrigona_hobbyi	bee	1
Heterotrigona_itama	bee	1
Homotrigona_apicalis	bee	1
Homotrigona_binghami	bee	1
Homotrigona_canifrons	bee	1
Homotrigona_fimbriata	bee	1
Homotrigona_haematoptera	bee	1
Homotrigona_melanoleuca	bee	1
Lepidotrigona_ventralis	bee	1
Lestrimelitta_limao	bee	1
Lisotrigona_cacciae	bee	1
Lisotrigona_carpenteri	bee	1
Lisotrigona_furva	bee	1
Melipona_beecheii	bee	1
Melipona_compressipes	bee	1
Melipona_fasciculata	bee	1
Melipona_favosa	bee	1
Melipona_flavolineata	bee	1
Melipona_mandacaia	bee	1
Melipona_marginata	bee	1
Melipona_orbignyi	bee	1
Melipona_quadrifasciata	bee	1
Melipona_scutellaris	bee	1
Melipona_seminigra	bee	1
Melipona_subnitida	bee	1
Nannotrigona_testaceicornis	bee	1
Paratrigona_anduzei	bee	1
Plebeia_droryana	bee	1
Plebeia_emerina	bee	1
Plebeia_frontalis	bee	1
Plebeia_lucii	bee	1
Plebeia_remota	bee	1
Scaptotrigona_bipunctata	bee	1
Scaptotrigona_depilis	bee	1
Scaptotrigona_jujuyensis	bee	1
Scaptotrigona_postica	bee	1
Tetragona_clavipes	bee	1
Tetragonisca_angustula	bee	1
Tetragonisca_fiebrigi	bee	1
Tetragonula_atripes	bee	1
Tetragonula_biroi	bee	1
Tetragonula_carbonaria	bee	1
Tetragonula_collina	bee	1
Tetragonula_fuscobalteata	bee	1
Tetragonula_geissleri	bee	1
Tetragonula_hockingsi	bee	1
Tetragonula_iridipennis	bee	1
Tetragonula_laeviceps	bee	1
Tetragonula_melanocephala	bee	1
Tetragonula_melina	bee	1
Tetragonula_minor	bee	1
Tetragonula_pagdeni	bee	1
Tetragonula_reepeni	bee	1
Tetragonula_rufibasalis	bee	1
Tetragonula_sapiens	bee	1
Trigona_corvina	bee	1
Trigona_fulviventris	bee	1
Trigona_recursa	bee	1
Trigona_spinipes	bee	1
Trigona_ungulata	bee	1
Trigona_williana	bee	1
Wallacetrigona_incisa	bee	1
Acanthaceae	plant	2
Altingiaceae	plant	2
Amaranthaceae	plant	2
Anacardiaceae	plant	2
Apiaceae	plant	2
Apocynaceae	plant	2
Aquifoliaceae	plant	2
Araliaceae	plant	2
Araucariaceae	plant	2
Arecaceae	plant	2
Asparagaceae	plant	2
Asphodelaceae	plant	2
Asteraceae	plant	2
Balanophoraceae	plant	2
Begoniaceae	plant	2
Bignoniaceae	plant	2
Bombacaceae	plant	2
Boraginaceae	plant	2
Brassicaceae	plant	2
Bryophyta	plant	2
Burseraceae	plant	2
Cactaceae	plant	2
Caesalpiniaceae	plant	2
Calophyllaceae	plant	2
Campanulaceae	plant	2
Cannabaceae	plant	2
Caricaceae	plant	2
Caryocaraceae	plant	2
Caryophyllaceae	plant	2
Cecropiaceae	plant	2
Chenopodiaceae	plant	2
Chrysobalanaceae	plant	2
Cleomaceae	plant	2
Clethraceae	plant	2
Clusiaceae	plant	2
Combretaceae	plant	2
Commelinaceae	plant	2
Connaraceae	plant	2
Convolvulaceae	plant	2
Cornaceae	plant	2
Cucurbitaceae	plant	2
Cupressaceae	plant	2
Cyperaceae	plant	2
Dilleniaceae	plant	2
Dipterocarpaceae	plant	2
Euphorbiaceae	plant	2
Fabaceae	plant	2
Flacourtiaceae	plant	2
Gentianaceae	plant	2
Gesneriaceae	plant	2
Humiriaceae	plant	2
Hypericaceae	plant	2
Iridaceae	plant	2
Lacistemaceae	plant	2
Lamiaceae	plant	2
Lauraceae	plant	2
Loranthaceae	plant	2
Lythraceae	plant	2
Malpighiaceae	plant	2
Malvaceae	plant	2
Melastomataceae	plant	2
Meliaceae	plant	2
Menispermaceae	plant	2
Mimosaceae	plant	2
Moraceae	plant	2
Moringaceae	plant	2
Myristicaceae	plant	2
Myrsinaceae	plant	2
Myrtaceae	plant	2
Nyctaginaceae	plant	2
Ochnaceae	plant	2
Oleaceae	plant	2
Onagraceae	plant	2
Orchidaceae	plant	2
Oxalidaceae	plant	2
Papaveraceae	plant	2
Pedaliaceae	plant	2
Phyllanthaceae	plant	2
Phytolaccaceae	plant	2
Pinaceae	plant	2
Piperaceae	plant	2
Poaceae	plant	2
Podocarpaceae	plant	2
Polygonaceae	plant	2
Pontederiaceae	plant	2
Primulaceae	plant	2
Rhamnaceae	plant	2
Rosaceae	plant	2
Rubiaceae	plant	2
Rutaceae	plant	2
Salicaceae	plant	2
Sapindaceae	plant	2
Sapotaceae	plant	2
Scrophulariaceae	plant	2
Simaroubaceae	plant	2
Solanaceae	plant	2
Sterculiaceae	plant	2
Typhaceae	plant	2
Ulmaceae	plant	2
Urticaceae	plant	2
Vochysiaceae	plant	2
