node	taxon	type			
Frieseomelitta_longipes	bee	1
Frieseomelitta_silvestrii	bee	1
Frieseomelitta_varia	bee	1
Melipona_beecheii	bee	1
Melipona_compressipes	bee	1
Melipona_fasciculata	bee	1
Melipona_favosa	bee	1
Melipona_marginata	bee	1
Melipona_orbignyi	bee	1
Melipona_quadrifasciata	bee	1
Melipona_scutellaris	bee	1
Melipona_seminigra	bee	1
Melipona_subnitida	bee	1
Paratrigona_anduzei	bee	1
Plebeia_droryana	bee	1
Plebeia_emerina	bee	1
Plebeia_frontalis	bee	1
Plebeia_lucii	bee	1
Plebeia_remota	bee	1
Scaptotrigona_bipunctata	bee	1
Scaptotrigona_depilis	bee	1
Scaptotrigona_jujuyensis	bee	1
Scaptotrigona_postica	bee	1
Tetragona_clavipes	bee	1
Tetragonisca_angustula	bee	1
Tetragonisca_fiebrigi	bee	1
Trigona_corvina	bee	1
Trigona_fulviventris	bee	1
Trigona_spinipes	bee	1
Trigona_williana	bee	1
Altingiaceae	plant	2
Anacardiaceae	plant	2
Araucariaceae	plant	2
Balanophoraceae	plant	2
Bignoniaceae	plant	2
Calophyllaceae	plant	2
Campanulaceae	plant	2
Clusiaceae	plant	2
Euphorbiaceae	plant	2
Fabaceae	plant	2
Lythraceae	plant	2
Moraceae	plant	2
Myrtaceae	plant	2
Oleaceae	plant	2
Orchidaceae	plant	2
Pinaceae	plant	2
Poaceae	plant	2
Podocarpaceae	plant	2
Rosaceae	plant	2
Rutaceae	plant	2
Salicaceae	plant	2
