node	taxon	type
Geniotrigona_thoracica	bee	1
Heterotrigona_erythrogastra	bee	1
Heterotrigona_hobbyi	bee	1
Heterotrigona_itama	bee	1
Homotrigona_apicalis	bee	1
Homotrigona_binghami	bee	1
Homotrigona_canifrons	bee	1
Homotrigona_fimbriata	bee	1
Homotrigona_haematoptera	bee	1
Homotrigona_melanoleuca	bee	1
Lepidotrigona_ventralis	bee	1
Lisotrigona_cacciae	bee	1
Lisotrigona_carpenteri	bee	1
Lisotrigona_furva	bee	1
Tetragonula_atripes	bee	1
Tetragonula_biroi	bee	1
Tetragonula_carbonaria	bee	1
Tetragonula_collina	bee	1
Tetragonula_fuscobalteata	bee	1
Tetragonula_geissleri	bee	1
Tetragonula_hockingsi	bee	1
Tetragonula_iridipennis	bee	1
Tetragonula_laeviceps	bee	1
Tetragonula_melanocephala	bee	1
Tetragonula_melina	bee	1
Tetragonula_minor	bee	1
Tetragonula_pagdeni	bee	1
Tetragonula_reepeni	bee	1
Tetragonula_rufibasalis	bee	1
Tetragonula_sapiens	bee	1
Wallacetrigona_incisa	bee	1
Anacardiaceae	plant	2
Apiaceae	plant	2
Apocynaceae	plant	2
Araucariaceae	plant	2
Arecaceae	plant	2
Asparagaceae	plant	2
Asphodelaceae	plant	2
Asteraceae	plant	2
Brassicaceae	plant	2
Burseraceae	plant	2
Cannabaceae	plant	2
Caricaceae	plant	2
Cleomaceae	plant	2
Clusiaceae	plant	2
Combretaceae	plant	2
Cornaceae	plant	2
Cucurbitaceae	plant	2
Cupressaceae	plant	2
Dipterocarpaceae	plant	2
Euphorbiaceae	plant	2
Fabaceae	plant	2
Hypericaceae	plant	2
Lamiaceae	plant	2
Malvaceae	plant	2
Meliaceae	plant	2
Moraceae	plant	2
Moringaceae	plant	2
Myristicaceae	plant	2
Myrtaceae	plant	2
Papaveraceae	plant	2
Pedaliaceae	plant	2
Pinaceae	plant	2
Poaceae	plant	2
Rhamnaceae	plant	2
Rubiaceae	plant	2
Rutaceae	plant	2
Sapotaceae	plant	2
Solanaceae	plant	2
Ulmaceae	plant	2
