nodes	module	
Axestotrigona_ferruginea	4
Frieseomelitta_longipes	8
Frieseomelitta_silvestrii	3
Frieseomelitta_varia	4
Geniotrigona_thoracica	6
Heterotrigona_erythrogastra	6
Heterotrigona_hobbyi	6
Heterotrigona_itama	8
Homotrigona_apicalis	6
Homotrigona_binghami	6
Homotrigona_canifrons	6
Homotrigona_fimbriata	6
Homotrigona_haematoptera	6
Homotrigona_melanoleuca	6
Lepidotrigona_ventralis	6
Lestrimelitta_limao	9
Lisotrigona_cacciae	8
Lisotrigona_carpenteri	3
Lisotrigona_furva	6
Melipona_beecheii	7
Melipona_compressipes	8
Melipona_fasciculata	3
Melipona_favosa	8
Melipona_flavolineata	3
Melipona_mandacaia	2
Melipona_marginata	1
Melipona_orbignyi	8
Melipona_quadrifasciata	9
Melipona_scutellaris	6
Melipona_seminigra	3
Melipona_subnitida	3
Nannotrigona_testaceicornis	9
Paratrigona_anduzei	8
Plebeia_droryana	6
Plebeia_emerina	7
Plebeia_frontalis	7
Plebeia_lucii	8
Plebeia_remota	6
Scaptotrigona_bipunctata	6
Scaptotrigona_depilis	8
Scaptotrigona_jujuyensis	4
Scaptotrigona_postica	3
Tetragona_clavipes	6
Tetragonisca_angustula	9
Tetragonisca_fiebrigi	4
Tetragonula_atripes	6
Tetragonula_biroi	7
Tetragonula_carbonaria	1
Tetragonula_collina	6
Tetragonula_fuscobalteata	6
Tetragonula_geissleri	6
Tetragonula_hockingsi	1
Tetragonula_iridipennis	5
Tetragonula_laeviceps	6
Tetragonula_melanocephala	6
Tetragonula_melina	6
Tetragonula_minor	6
Tetragonula_pagdeni	8
Tetragonula_reepeni	6
Tetragonula_rufibasalis	6
Tetragonula_sapiens	1
Trigona_corvina	7
Trigona_fulviventris	7
Trigona_recursa	4
Trigona_spinipes	1
Trigona_ungulata	9
Trigona_williana	1
Wallacetrigona_incisa	6
Acanthaceae	5
Altingiaceae	7
Amaranthaceae	9
Anacardiaceae	6
Apiaceae	9
Apocynaceae	3
Aquifoliaceae	3
Araliaceae	4
Araucariaceae	6
Arecaceae	9
Asparagaceae	8
Asphodelaceae	1
Asteraceae	9
Balanophoraceae	8
Begoniaceae	9
Bignoniaceae	9
Bombacaceae	4
Boraginaceae	4
Brassicaceae	5
Bryophyta	9
Burseraceae	6
Cactaceae	3
Caesalpiniaceae	9
Calophyllaceae	6
Campanulaceae	9
Cannabaceae	9
Caricaceae	5
Caryocaraceae	3
Caryophyllaceae	2
Cecropiaceae	2
Chenopodiaceae	4
Chrysobalanaceae	3
Cleomaceae	5
Clethraceae	9
Clusiaceae	8
Combretaceae	9
Commelinaceae	9
Connaraceae	3
Convolvulaceae	3
Cornaceae	5
Cucurbitaceae	9
Cupressaceae	1
Cyperaceae	3
Dilleniaceae	9
Dipterocarpaceae	6
Euphorbiaceae	7
Fabaceae	8
Flacourtiaceae	3
Gentianaceae	3
Gesneriaceae	9
Humiriaceae	4
Hypericaceae	3
Iridaceae	3
Lacistemaceae	3
Lamiaceae	3
Lauraceae	3
Loranthaceae	9
Lythraceae	3
Malpighiaceae	3
Malvaceae	5
Melastomataceae	3
Meliaceae	3
Menispermaceae	3
Mimosaceae	3
Moraceae	9
Moringaceae	5
Myristicaceae	6
Myrsinaceae	3
Myrtaceae	1
Nyctaginaceae	9
Ochnaceae	3
Oleaceae	4
Onagraceae	3
Orchidaceae	1
Oxalidaceae	4
Papaveraceae	5
Pedaliaceae	5
Phyllanthaceae	3
Phytolaccaceae	9
Pinaceae	4
Piperaceae	9
Poaceae	4
Podocarpaceae	3
Polygonaceae	4
Pontederiaceae	3
Primulaceae	3
Rhamnaceae	9
Rosaceae	4
Rubiaceae	3
Rutaceae	4
Salicaceae	3
Sapindaceae	3
Sapotaceae	5
Scrophulariaceae	9
Simaroubaceae	3
Solanaceae	3
Sterculiaceae	9
Typhaceae	9
Ulmaceae	5
Urticaceae	9
Vochysiaceae	9
