nodes	module	
Axestotrigona_ferruginea	3
Frieseomelitta_longipes	4
Frieseomelitta_silvestrii	4
Frieseomelitta_varia	4
Geniotrigona_thoracica	7
Heterotrigona_erythrogastra	7
Heterotrigona_hobbyi	7
Heterotrigona_itama	6
Homotrigona_apicalis	7
Homotrigona_binghami	7
Homotrigona_canifrons	7
Homotrigona_fimbriata	7
Homotrigona_haematoptera	7
Homotrigona_melanoleuca	4
Lepidotrigona_ventralis	8
Lisotrigona_cacciae	8
Lisotrigona_carpenteri	8
Lisotrigona_furva	8
Melipona_beecheii	2
Melipona_compressipes	4
Melipona_fasciculata	1
Melipona_favosa	4
Melipona_marginata	3
Melipona_orbignyi	5
Melipona_quadrifasciata	8
Melipona_scutellaris	5
Melipona_subnitida	6
Paratrigona_anduzei	4
Plebeia_remota	3
Scaptotrigona_bipunctata	8
Scaptotrigona_depilis	4
Scaptotrigona_jujuyensis	3
Scaptotrigona_postica	6
Tetragonisca_angustula	8
Tetragonisca_fiebrigi	3
Tetragonula_biroi	6
Tetragonula_carbonaria	3
Tetragonula_collina	7
Tetragonula_fuscobalteata	7
Tetragonula_geissleri	7
Tetragonula_laeviceps	7
Tetragonula_melanocephala	7
Tetragonula_minor	8
Tetragonula_pagdeni	4
Tetragonula_rufibasalis	7
Tetragonula_sapiens	8
Trigona_williana	4
Wallacetrigona_incisa	8
Altingiaceae	2
Anacardiaceae	8
Araucariaceae	7
Asparagaceae	8
Asphodelaceae	3
Balanophoraceae	5
Bignoniaceae	6
Burseraceae	7
Calophyllaceae	5
Campanulaceae	8
Clusiaceae	4
Cupressaceae	3
Dipterocarpaceae	7
Euphorbiaceae	6
Fabaceae	6
Hypericaceae	8
Lythraceae	1
Meliaceae	3
Moraceae	1
Myristicaceae	7
Myrtaceae	3
Oleaceae	3
Orchidaceae	4
Pinaceae	3
Poaceae	3
Podocarpaceae	4
Rosaceae	3
Rutaceae	3
Salicaceae	2
