nodes	module
Axestotrigona_ferruginea	6
Frieseomelitta_longipes	3
Frieseomelitta_silvestrii	5
Frieseomelitta_varia	3
Geniotrigona_thoracica	8
Heterotrigona_erythrogastra	8
Heterotrigona_hobbyi	8
Heterotrigona_itama	3
Homotrigona_apicalis	8
Homotrigona_binghami	8
Homotrigona_canifrons	8
Homotrigona_fimbriata	8
Homotrigona_haematoptera	8
Homotrigona_melanoleuca	3
Lepidotrigona_ventralis	11
Lisotrigona_cacciae	2
Lisotrigona_carpenteri	2
Lisotrigona_furva	2
Melipona_beecheii	4
Melipona_compressipes	3
Melipona_fasciculata	12
Melipona_favosa	3
Melipona_marginata	7
Melipona_orbignyi	5
Melipona_quadrifasciata	9
Melipona_scutellaris	9
Melipona_seminigra	1
Melipona_subnitida	1
Paratrigona_anduzei	3
Plebeia_droryana	11
Plebeia_emerina	1
Plebeia_frontalis	1
Plebeia_lucii	3
Plebeia_remota	7
Scaptotrigona_bipunctata	9
Scaptotrigona_depilis	3
Scaptotrigona_jujuyensis	6
Scaptotrigona_postica	1
Tetragona_clavipes	8
Tetragonisca_angustula	3
Tetragonisca_fiebrigi	6
Tetragonula_atripes	8
Tetragonula_biroi	1
Tetragonula_carbonaria	7
Tetragonula_collina	8
Tetragonula_fuscobalteata	8
Tetragonula_geissleri	8
Tetragonula_hockingsi	7
Tetragonula_iridipennis	10
Tetragonula_laeviceps	8
Tetragonula_melanocephala	8
Tetragonula_melina	8
Tetragonula_minor	11
Tetragonula_pagdeni	3
Tetragonula_reepeni	8
Tetragonula_rufibasalis	8
Tetragonula_sapiens	7
Trigona_corvina	1
Trigona_fulviventris	1
Trigona_spinipes	3
Trigona_williana	1
Wallacetrigona_incisa	11
Anacardiaceae	11
Apocynaceae	10
Araucariaceae	8
Asparagaceae	2
Asphodelaceae	7
Balanophoraceae	5
Bignoniaceae	1
Burseraceae	8
Calophyllaceae	9
Campanulaceae	9
Caricaceae	10
Cleomaceae	10
Clusiaceae	3
Cupressaceae	7
Dipterocarpaceae	8
Euphorbiaceae	1
Fabaceae	1
Hypericaceae	2
Lythraceae	12
Malvaceae	10
Meliaceae	7
Moraceae	12
Moringaceae	10
Myristicaceae	8
Myrtaceae	7
Oleaceae	6
Orchidaceae	1
Papaveraceae	10
Pinaceae	6
Poaceae	6
Podocarpaceae	5
Rosaceae	6
Rutaceae	6
Salicaceae	4
Sapotaceae	10
