nodes	module
Geniotrigona_thoracica	4
Heterotrigona_erythrogastra	4
Heterotrigona_itama	3
Homotrigona_apicalis	6
Homotrigona_binghami	6
Homotrigona_canifrons	6
Homotrigona_fimbriata	6
Homotrigona_haematoptera	4
Homotrigona_melanoleuca	6
Lepidotrigona_ventralis	6
Melipona_compressipes	1
Melipona_favosa	1
Melipona_quadrifasciata	5
Melipona_scutellaris	5
Melipona_seminigra	1
Plebeia_droryana	5
Plebeia_emerina	3
Plebeia_frontalis	3
Plebeia_lucii	3
Plebeia_remota	5
Scaptotrigona_bipunctata	4
Tetragona_clavipes	4
Tetragonisca_angustula	3
Tetragonula_atripes	6
Tetragonula_carbonaria	2
Tetragonula_collina	4
Tetragonula_fuscobalteata	6
Tetragonula_geissleri	6
Tetragonula_hockingsi	2
Tetragonula_iridipennis	1
Tetragonula_laeviceps	6
Tetragonula_melanocephala	6
Tetragonula_melina	6
Tetragonula_reepeni	6
Tetragonula_sapiens	2
Trigona_corvina	3
Trigona_fulviventris	3
Trigona_spinipes	2
Anacardiaceae	5
Apocynaceae	1
Araucariaceae	4
Burseraceae	6
Caricaceae	1
Cleomaceae	1
Clusiaceae	3
Dipterocarpaceae	6
Euphorbiaceae	3
Fabaceae	1
Malvaceae	1
Moraceae	1
Moringaceae	1
Myristicaceae	6
Myrtaceae	2
Papaveraceae	1
Sapotaceae	1
