nodes	module
Frieseomelitta_varia	1
Lestrimelitta_limao	1
Melipona_fasciculata	3
Melipona_flavolineata	5
Melipona_mandacaia	3
Melipona_quadrifasciata	2
Melipona_seminigra	5
Melipona_subnitida	5
Nannotrigona_testaceicornis	1
Scaptotrigona_postica	3
Tetragonisca_angustula	4
Tetragonula_iridipennis	4
Trigona_recursa	1
Trigona_ungulata	4
Acanthaceae	4
Amaranthaceae	3
Anacardiaceae	1
Apiaceae	4
Apocynaceae	5
Aquifoliaceae	3
Araliaceae	1
Arecaceae	1
Asteraceae	3
Begoniaceae	4
Bignoniaceae	1
Bombacaceae	1
Boraginaceae	1
Brassicaceae	4
Bryophyta	4
Burseraceae	5
Cactaceae	3
Caesalpiniaceae	1
Campanulaceae	1
Cannabaceae	4
Caryocaraceae	3
Caryophyllaceae	3
Cecropiaceae	3
Chenopodiaceae	1
Chrysobalanaceae	5
Clethraceae	2
Clusiaceae	5
Combretaceae	4
Commelinaceae	4
Connaraceae	5
Convolvulaceae	3
Cornaceae	4
Cucurbitaceae	1
Cyperaceae	5
Dilleniaceae	1
Dipterocarpaceae	4
Euphorbiaceae	1
Fabaceae	1
Flacourtiaceae	3
Gentianaceae	5
Gesneriaceae	4
Humiriaceae	1
Hypericaceae	5
Iridaceae	5
Lacistemaceae	5
Lamiaceae	4
Lauraceae	5
Loranthaceae	2
Lythraceae	3
Malpighiaceae	3
Malvaceae	4
Melastomataceae	5
Meliaceae	5
Menispermaceae	5
Mimosaceae	3
Moraceae	4
Moringaceae	4
Myrsinaceae	5
Myrtaceae	1
Nyctaginaceae	1
Ochnaceae	3
Onagraceae	1
Oxalidaceae	1
Pedaliaceae	4
Phyllanthaceae	3
Phytolaccaceae	4
Pinaceae	1
Piperaceae	1
Poaceae	1
Polygonaceae	1
Pontederiaceae	5
Primulaceae	3
Rhamnaceae	4
Rubiaceae	3
Rutaceae	1
Salicaceae	5
Sapindaceae	5
Sapotaceae	4
Scrophulariaceae	1
Simaroubaceae	5
Solanaceae	5
Sterculiaceae	4
Typhaceae	1
Ulmaceae	4
Urticaceae	1
Vochysiaceae	4
