bee_species	taxon	body_size_mean	module	included_in_phylogeny	biogeographical_region	number_of_interactions	number_of_articles	botanical_source_method
Axestotrigona_ferruginea	bee	1.925	4	no	African	1	1	chem
Frieseomelitta_longipes	bee	NA	8	no	Neotropical	1	1	chem
Frieseomelitta_silvestrii	bee	1.01	3	yes	Neotropical	1	1	chem
Frieseomelitta_varia	bee	1.74	4	yes	Neotropical	30	2	chem_pal
Geniotrigona_thoracica	bee	1.835	6	yes	Indo-Malayan-Australasian	7	3	chem_field
Heterotrigona_erythrogastra	bee	1.15	6	yes	Indo-Malayan-Australasian	3	2	chem_field
Heterotrigona_hobbyi	bee	NA	6	yes	Indo-Malayan-Australasian	1	1	chem
Heterotrigona_itama	bee	1.27	8	yes	Indo-Malayan-Australasian	9	5	chem_field
Homotrigona_apicalis	bee	1.511	6	yes	Indo-Malayan-Australasian	8	4	chem_field
Homotrigona_binghami	bee	1.495	6	yes	Indo-Malayan-Australasian	7	2	chem_field
Homotrigona_canifrons	bee	1.805	6	yes	Indo-Malayan-Australasian	12	2	chem_field
Homotrigona_fimbriata	bee	1.925	6	yes	Indo-Malayan-Australasian	9	3	chem_field
Homotrigona_haematoptera	bee	NA	6	yes	Indo-Malayan-Australasian	4	2	chem_field
Homotrigona_melanoleuca	bee	1.588	6	yes	Indo-Malayan-Australasian	5	2	chem_field
Lepidotrigona_ventralis	bee	1.44	6	yes	Indo-Malayan-Australasian	9	3	chem_field
Lestrimelitta_limao	bee	2.181	9	yes	Neotropical	26	1	pal
Lisotrigona_cacciae	bee	0.819	8	no	Indo-Malayan-Australasian	5	2	chem
Lisotrigona_carpenteri	bee	NA	3	no	Indo-Malayan-Australasian	1	1	chem
Lisotrigona_furva	bee	1.027	6	yes	Indo-Malayan-Australasian	4	2	chem
Melipona_beecheii	bee	26.809	7	yes	Neotropical	2	1	chem
Melipona_compressipes	bee	3.725	8	yes	Neotropical	4	3	chem_field
Melipona_fasciculata	bee	3.3	3	yes	Neotropical	114	4	chem_pal
Melipona_favosa	bee	2.633	8	yes	Neotropical	3	2	chem_field
Melipona_flavolineata	bee	2.671	3	yes	Neotropical	74	1	pal
Melipona_mandacaia	bee	2.708	2	yes	Neotropical	24	1	pal
Melipona_marginata	bee	2.299	1	yes	Neotropical	1	1	chem
Melipona_orbignyi	bee	3.5	8	no	Neotropical	1	1	chem
Melipona_quadrifasciata	bee	3.2105	9	yes	Neotropical	48	9	chem_field_pal
Melipona_scutellaris	bee	3.912	6	yes	Neotropical	4	3	chem_field
Melipona_seminigra	bee	3.02	3	yes	Neotropical	1	1	field
Melipona_subnitida	bee	3.05	3	no	Neotropical	84	3	chem_pal
Nannotrigona_testaceicornis	bee	1.624	9	yes	Neotropical	23	1	pal
Paratrigona_anduzei	bee	2.00	8	no	Neotropical	1	1	chem
Plebeia_droryana	bee	1.476	6	yes	Neotropical	2	1	field
Plebeia_emerina	bee	1.240	7	no	Neotropical	1	1	field
Plebeia_frontalis	bee	1.02	7	yes	Neotropical	1	1	field
Plebeia_lucii	bee	1	8	no	Neotropical	1	1	field
Plebeia_remota	bee	1.865	6	no	Neotropical	3	2	chem_field
Scaptotrigona_bipunctata	bee	2.32	6	yes	Neotropical	1	1	chem_field
Scaptotrigona_depilis	bee	1.71	8	yes	Neotropical	2	2	chem
Scaptotrigona_jujuyensis	bee	NA	4	no	Neotropical	9	1	chem
Scaptotrigona_postica	bee	2.257	3	yes	Neotropical	88	5	chem_pal
Tetragona_clavipes	bee	1.886	6	yes	Neotropical	2	2	field
Tetragonisca_angustula	bee	1.257	9	yes	Neotropical	97	7	chem_field_pal
Tetragonisca_fiebrigi	bee	1.145	4	yes	Neotropical	9	1	chem
Tetragonula_atripes	bee	NA	6	yes	Indo-Malayan-Australasian	3	1	field
Tetragonula_biroi	bee	1.21	7	no	Indo-Malayan-Australasian	2	2	chem
Tetragonula_carbonaria	bee	1.109	1	yes	Indo-Malayan-Australasian	25	5	chem_field
Tetragonula_collina	bee	1.38	6	yes	Indo-Malayan-Australasian	19	4	chem_field
Tetragonula_fuscobalteata	bee	1.006	6	yes	Indo-Malayan-Australasian	4	2	chem_field
Tetragonula_geissleri	bee	1.915	6	yes	Indo-Malayan-Australasian	13	2	chem_field
Tetragonula_hockingsi	bee	NA	1	yes	Indo-Malayan-Australasian	2	2	field
Tetragonula_iridipennis	bee	NA	5	yes	Indo-Malayan-Australasian	58	1	field_pal
Tetragonula_laeviceps	bee	1.207	6	yes	Indo-Malayan-Australasian	19	6	chem_field
Tetragonula_melanocephala	bee	NA	6	yes	Indo-Malayan-Australasian	9	3	chem_field
Tetragonula_melina	bee	NA	6	yes	Indo-Malayan-Australasian	3	2	field
Tetragonula_minor	bee	NA	6	yes	Indo-Malayan-Australasian	1	1	chem
Tetragonula_pagdeni	bee	0.981	8	yes	Indo-Malayan-Australasian	1	1	chem
Tetragonula_reepeni	bee	NA	6	no	Indo-Malayan-Australasian	3	1	field
Tetragonula_rufibasalis	bee	NA	6	yes	Indo-Malayan-Australasian	3	1	chem
Tetragonula_sapiens	bee	3.76	1	yes	Indo-Malayan-Australasian	3	3	chem_field
Trigona_corvina	bee	2.125	7	yes	Neotropical	1	1	field
