Authors,Title,Year,DOI,Link
"Fabio Turco J., Benhur Mokochinski J., Reyes Torres Y.","Lipidomic analysis of geopropolis of Brazilian stingless bees by LC-HRMS",2023,"10.1016/j.foodres.2023.112640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149279336&doi=10.1016%2fj.foodres.2023.112640&partnerID=40&md5=b4ac681b23cb025de27bff7dba94cba2"
"Layek U., Das N., Kumar De S., Karmakar P.","The botanical origin of cerumen and propolis of Indian stingless bees (Tetragonula iridipennis Smith): pollen spectrum does not accurately indicate latex and resin sources",2023,"10.1007/s13592-023-00994-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149846491&doi=10.1007%2fs13592-023-00994-1&partnerID=40&md5=6ff0e76901ec12aeb28b2937bcd21fc7"
"Chui S.X., Wahab R.B.H.A., Leonhardt S.D.","Stingless bee (Apidae: Meliponini) foraging and predation at trunk resin sources: Rare observations captured with microcontroller-based camera traps in a lowland dipterocarp forest",2023,"10.1007/s00040-022-00889-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143399542&doi=10.1007%2fs00040-022-00889-x&partnerID=40&md5=a933f24abaf9c58f6c4370c803960e1e"
"Kustiawan P.M., Yanti E.N., Nisa K., Zulfa A.F., Batistuta M.A.","Bioactivity of Heterotrigona itama Propolis as Anti-Inflammatory: A Review",2023,"10.33263/BRIAC134.326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141049794&doi=10.33263%2fBRIAC134.326&partnerID=40&md5=3f594b37e2e9fae1e39ba4472fc9c67e"
"Isidorov V.A., Maslowiecka J., Szoka L., Pellizzer N., Miranda D., Olchowik-Grabarek E., Zambrzycka M., Swiecicka I.","Chemical Composition and Biological Activity of Argentinian Propolis of Four Species of Stingless Bees",2022,"10.3390/molecules27227686","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142424759&doi=10.3390%2fmolecules27227686&partnerID=40&md5=af8b1ddddcf624c1e02c7632b8e1e189"
"Martin E.G.","A literature review on the benefits of propolis",2022,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140816404&partnerID=40&md5=f287e17cb007ce70cda0fdcb72e957f6"
"Lepeco A., Melo G.A.R.","Another piece in the puzzle: a fossil stingless bee from Ethiopian amber (Apidae, Meliponini)",2022,"10.1127/njgpa/2022/1062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131387217&doi=10.1127%2fnjgpa%2f2022%2f1062&partnerID=40&md5=e54d63f7fb99d79839dd117f7c839173"
"Ferreira J.M., Negri G., Salatino M.L.F., Message D., Salatino A.","CHEMICAL PROFILE AND ANTIOXIDANT ACTIVITY OF GEOPROPOLIS FROM Melipona subnitida COLLECTED INSIDE AND OUTSIDE THE NEST",2022,"10.21577/0100-4042.20170928","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150436511&doi=10.21577%2f0100-4042.20170928&partnerID=40&md5=92dbe0de76423c27bac3314015f84cf6"
"Herwina H., Salmah S., Mairawita, Nurainas, Jasmi, Janra M.N., Sari D.A.","Assessing the Environmental Friendliness of Universitas Andalas for Stingless Bees Species (Hymenoptera: Apidae: Meliponini)",2022,"10.1088/1755-1315/1059/1/012081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135327030&doi=10.1088%2f1755-1315%2f1059%2f1%2f012081&partnerID=40&md5=f4680fb7c63bd27ce5a4fcebcdb529d1"
"Gabriel M.B., Carneiro M.J., de Camargo R.C.R., Sawaya A.C.H.F.","The chemical composition and antioxidant activity of mandaçaia (melipona quadrifasciata) geopropolis varies more due to region than month of collection",2022,"10.1080/14786419.2021.1892101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102485085&doi=10.1080%2f14786419.2021.1892101&partnerID=40&md5=45048bd912b996c3335e7c4ac2f2aa28"
